Submission id;Participant id;Status;Custom study tncs accepted at;Started at;Completed at;Reviewed at;Archived at;Time taken;Completion code;Total approvals;Fluent languages;Age;Sex;Ethnicity simplified;Country of birth;Country of residence;Nationality;Language;Student status;Employment status
683ec07c0bda56f9c7ef8ec0;5bf3feb0345b9b00016ead01;APPROVED;Not Applicable;2025-06-03T09:29:32.615000Z;2025-06-03T09:45:45.094000Z;2025-06-03T09:45:45.737000Z;2025-06-03T09:45:45.660244Z;973.0;72AAC84F;908;English;30;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Due to start a new job within the next month
683ec09476dda723c59aec08;628b938b2a14e5c3e9ede879;APPROVED;Not Applicable;2025-06-03T09:33:32.965000Z;2025-06-03T09:39:23.834000Z;2025-06-03T09:45:04.668000Z;2025-06-03T09:39:24.449783Z;351.0;72AAC84F;2014;English;28;Female;White;United Kingdom;United Kingdom;United Kingdom;English;Yes;Full-Time
683ec12fe2e8c19636ee7a5a;62aa591a476ebabe28612a92;APPROVED;Not Applicable;2025-06-03T09:32:31.896000Z;2025-06-03T10:02:10.401000Z;2025-06-03T10:02:11.054000Z;2025-06-03T10:02:10.956386Z;1779.0;72AAC84F;2428;English;35;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
683ec1d21d699428162a93e2;5ca0db2010dc450012fd0b0e;APPROVED;Not Applicable;2025-06-03T09:35:18.420000Z;2025-06-03T09:43:15.234000Z;2025-06-03T09:43:15.846000Z;2025-06-03T09:43:15.771881Z;477.0;72AAC84F;2525;English;30;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
683ec455b17dd667bb56f51b;62aa33eec600b41d4dc4b4e8;APPROVED;Not Applicable;2025-06-03T09:47:34.800000Z;2025-06-03T09:54:16.219000Z;2025-06-03T10:02:13.501000Z;2025-06-03T09:54:16.870542Z;402.0;72AAC84F;1852;English;28;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Other
683ec45f17109b5b987454ec;60153b4ae37848341a5215ca;APPROVED;Not Applicable;2025-06-03T09:46:11.334000Z;2025-06-03T09:53:47.321000Z;2025-06-03T09:53:48.130000Z;2025-06-03T09:53:48.015014Z;456.0;72AAC84F;606;English;26;Female;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
683ec8b5434fe3ce888f7b09;6765829a949d1203926e1ade;APPROVED;Not Applicable;2025-06-03T10:04:55.905000Z;2025-06-03T10:15:01.303000Z;2025-06-03T10:15:02.017000Z;2025-06-03T10:15:01.926886Z;606.0;72AAC84F;397;Chinese, English;25;Female;Asian;China;United Kingdom;United Kingdom;Chinese;No;Full-Time
683ec9f031f247ca254389fc;5d1226291a6cf50001cbde23;APPROVED;Not Applicable;2025-06-03T10:10:06.853000Z;2025-06-03T10:23:25.562000Z;2025-06-03T10:23:26.540000Z;2025-06-03T10:23:26.442924Z;799.0;72AAC84F;1462;English;34;Male;White;United Kingdom;United Kingdom;United Kingdom;English;DATA_EXPIRED;DATA_EXPIRED
683ed03e4531223d3413caa9;5a1dda5480acd8000104a12b;APPROVED;Not Applicable;2025-06-03T10:40:06.792000Z;2025-06-03T10:53:49.954000Z;2025-06-03T10:53:50.620000Z;2025-06-03T10:53:50.530621Z;824.0;72AAC84F;1132;English;31;Female;Asian;United Kingdom;United Kingdom;United Kingdom;Urdu;DATA_EXPIRED;DATA_EXPIRED
683ed04d29208bdcc43d3b8c;59e8f20262637600014a7e75;APPROVED;Not Applicable;2025-06-03T10:37:12.166000Z;2025-06-03T10:50:53.706000Z;2025-06-03T10:50:54.481000Z;2025-06-03T10:50:54.406962Z;822.0;72AAC84F;1400;English;34;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
