Submission id;Participant id;Status;Custom study tncs accepted at;Started at;Completed at;Reviewed at;Archived at;Time taken;Completion code;Total approvals;Fluent languages;Age;Sex;Ethnicity simplified;Country of birth;Country of residence;Nationality;Language;Student status;Employment status
6836c7ee420a28c890ee6a67;6744d143eddffd17d345b192;APPROVED;Not Applicable;2025-05-28T08:23:29.735000Z;2025-05-28T08:29:51.237000Z;2025-06-02T09:52:20.913000Z;2025-05-28T08:29:51.777683Z;382.0;72AAC84F;907;English;25;Male;White;United Kingdom;United Kingdom;United Kingdom;English;DATA_EXPIRED;Part-Time
6836c81a58c2a335e3d92623;66e94b70cbccd55b54324055;APPROVED;Not Applicable;2025-05-28T08:24:42.815000Z;2025-05-28T08:30:59.669000Z;2025-06-02T09:52:21.222000Z;2025-05-28T08:31:00.173234Z;377.0;72AAC84F;483;English, Gujarati;34;Male;Asian;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6836c84f2e89662f8d93549b;67e0870d582edce0a2764d1f;APPROVED;Not Applicable;2025-05-28T08:25:12.636000Z;2025-05-28T08:37:05.269000Z;2025-05-28T08:37:11.081000Z;2025-05-28T08:37:05.963931Z;713.0;72AAC84F;420;English;28;Male;Black;United Kingdom;United Kingdom;United Kingdom;English;Yes;Full-Time
6836c852aa00cf666ccdb693;606c8e6bc369e4344ecd5ed1;APPROVED;Not Applicable;2025-05-28T08:25:40.731000Z;2025-05-28T08:35:32.873000Z;2025-05-28T08:35:37.141000Z;2025-05-28T08:35:33.440786Z;593.0;72AAC84F;808;English;25;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;DATA_EXPIRED
6836c859988a560abfc6ad51;676aa3d5f636e61eea483766;APPROVED;Not Applicable;2025-05-28T08:25:17.835000Z;2025-05-28T08:31:47.546000Z;2025-06-02T09:52:21.518000Z;2025-05-28T08:31:48.082589Z;390.0;72AAC84F;423;English;33;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6836c85ab817d0b1fc718f1c;672f246d1d67d71960402ef8;APPROVED;Not Applicable;2025-05-28T08:25:45.504000Z;2025-05-28T08:37:53.517000Z;2025-05-28T08:37:54.097000Z;2025-05-28T08:37:54.006472Z;729.0;72AAC84F;1553;English;32;Male;White;United Kingdom;United Kingdom;United Kingdom;English;DATA_EXPIRED;Full-Time
6836c85beaf4b192dd8f916d;671c1c699ca32031a83014e8;APPROVED;Not Applicable;2025-05-28T08:25:03.025000Z;2025-05-28T08:42:01.406000Z;2025-05-28T08:42:02.426000Z;2025-05-28T08:42:02.319685Z;1019.0;72AAC84F;381;English;34;Male;White;United Kingdom;United Kingdom;United Kingdom;English;Yes;Part-Time
6836c8604b1c5f3a85c5cd3c;60cf0d251a90eb823bc9b740;APPROVED;Not Applicable;2025-05-28T08:29:17.687000Z;2025-05-28T08:35:49.763000Z;2025-06-02T09:52:21.782000Z;2025-05-28T08:35:50.335971Z;393.0;72AAC84F;2113;English;32;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6836c8623c322e716374602e;6658c1cb3bd695ac90a04553;APPROVED;Not Applicable;2025-05-28T08:25:24.156000Z;2025-05-28T08:33:51.739000Z;2025-05-28T08:33:52.371000Z;2025-05-28T08:33:52.282124Z;508.0;72AAC84F;532;English;20;Male;White;United Kingdom;United Kingdom;United Kingdom;English;Yes;DATA_EXPIRED
6836c8634b05a2fd90b7c4d3;678a2893e4ac7939d14b9a05;APPROVED;Not Applicable;2025-05-28T08:25:15.949000Z;2025-05-28T08:37:32.596000Z;2025-05-28T08:37:35.136000Z;2025-05-28T08:37:33.196619Z;737.0;72AAC84F;396;English;23;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6836c864a5f82a3b9e6f1ed5;653bce556778e1739b2060a1;APPROVED;Not Applicable;2025-05-28T08:25:08.765000Z;2025-05-28T08:33:20.633000Z;2025-05-28T08:33:23.227000Z;2025-05-28T08:33:21.220690Z;492.0;72AAC84F;866;English;35;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
